Cantidad,Fecha,Producto,Venta,Compra,Utilidad
,11/07/2024,,29.00,23.71,5.29
1.00,,Lechera lata 397g,29.00,23.71,5.29
,11/07/2024,,18.00,14.40,3.60
1.00,,Doritos Nacho 61gr,18.00,14.40,3.60
,11/07/2024,,19.00,15.00,4.00
1.00,,Yoghurt Yoplait Durazno 330gr 9261,19.00,15.00,4.00
,11/07/2024,,78.00,60.60,17.40
1.00,,Fanta Uva 3lt,38.00,31.17,6.83
1.00,,Valle Frut Citrus 3lt,40.00,29.43,10.57
,11/07/2024,,76.00,58.09,17.91
1.00,,Bolsa Individual Polipapel Gde 1pza,2.00,0.00,2.00
1.00,,Pan bimbo Blanco Grande 640g,54.00,42.15,11.85
0.29,,Jamon Rebanado Suly 1kg,20.00,15.94,4.06
,11/07/2024,,38.00,34.26,3.74
1.00,,HUEVO CRIO 1/2 CONO,38.00,34.26,3.74
,11/07/2024,,48.00,41.98,6.02
1.00,,Epura Garrafon 20 Lts,48.00,41.98,6.02
,11/07/2024,,20.00,16.13,3.87
1.00,,Mantequilla Primavera Barra,20.00,16.13,3.87
,11/07/2024,,30.00,24.22,5.78
0.28,,Queso Fresco,30.00,24.22,5.78
,11/07/2024,,14.00,2.57,11.43
1.00,,Folder Carta Beige,6.00,1.89,4.11
4.00,,COPIA CREDENCIAL,8.00,0.68,7.32
,11/07/2024,,68.00,56.61,11.39
1.00,,Coca Retornable 3LTS 3068,39.00,32.83,6.17
1.00,,Mantecadas Vainilla C/6pzas 187.5gr,29.00,23.78,5.22
,11/07/2024,,18.00,13.80,4.20
6.00,,Huevo Crio Individual 1pza,18.00,13.80,4.20
,11/07/2024,,110.00,48.67,61.33
1.00,,Cable USB2.0 V8 1HORA,50.00,19.67,30.33
1.00,,Cabeza de cragdor 1HORA Gar107,60.00,29.00,31.00
,11/07/2024,,12.00,1.02,10.98
6.00,,COPIA CREDENCIAL,12.00,1.02,10.98
,11/07/2024,,41.00,29.70,11.30
1.00,,Azucar 1 Kg,22.00,20.51,1.49
1.00,,Jamaica bolsa 100gr,19.00,9.19,9.81
,11/07/2024,,71.50,54.76,16.74
0.29,,Jamon Rebanado Suly 1kg,20.00,15.94,4.06
0.41,,Salchijocho Pavo Any Agranel,20.00,13.82,6.18
1.00,,Imitacion Queso Americano Manchego 173g,31.50,25.00,6.50
,11/07/2024,,95.00,70.52,24.48
10.00,,Vaso Individual del #8 1pza,10.00,3.80,6.20
1.00,,Bizcochito Gamesa 150G 100173,14.00,11.87,2.13
1.00,,Cremax Chocolate 213g,31.00,25.42,5.58
1.00,,Valle Frut Citrus 3lt,40.00,29.43,10.57
,11/07/2024,,81.50,63.05,18.45
1.00,,Ace Accion Instantanea 500g,24.50,18.64,5.86
1.00,,Pancrema 151g,13.00,9.78,3.22
1.00,,Pinol 828 ml,26.00,20.88,5.12
1.00,,Marias Gamesa 1pz,18.00,13.75,4.25
,11/07/2024,,52.00,40.05,11.95
1.00,,Cucharas Chicas C/50pzas,12.00,8.25,3.75
1.00,,Sidral Munded Jumbo 3 Lts,40.00,31.80,8.20
,11/07/2024,,59.00,49.64,9.36
0.28,,Queso Fresco,30.00,24.22,5.78
1.00,,Marias Doradas 199g,29.00,25.42,3.58
,11/07/2024,,11.00,8.48,2.52
1.00,,Coca Cola 250ml Plastico,11.00,8.48,2.52
,11/07/2024,,14.00,7.20,6.80
1.00,,Bolsa Basura Grande 1pza,9.00,4.90,4.10
1.00,,Bolsa Basura Mediana 1pza,5.00,2.30,2.70
,11/07/2024,,10.00,7.08,2.92
1.00,,Valle Frut Citrus 355 ml 342198,10.00,7.08,2.92
,11/07/2024,,69.00,49.63,19.37
1.00,,Valle Frut Citrus 3lt,40.00,29.43,10.57
1.00,,VASO PLASTICO JAGUAR #8 PAQ 50PZ,29.00,20.20,8.80
,11/07/2024,,48.00,41.98,6.02
1.00,,Epura Garrafon 20 Lts,48.00,41.98,6.02
,11/07/2024,,40.00,29.43,10.57
1.00,,Valle Frut Citrus 3lt,40.00,29.43,10.57
,11/07/2024,,16.00,12.60,3.40
1.00,,Naturella Alas Fibras Organicas F/Abund 8pzas,16.00,12.60,3.40
,11/07/2024,,44.00,36.89,7.11
1.00,,Patrona 500 ml,24.00,19.76,4.24
0.16,,Queso De Hebra,20.00,17.13,2.87
,11/07/2024,,234.00,218.54,15.46
4.00,,Envios De Recargas,4.00,0.04,3.96
230.00,,RECARGAS XTREME (MULTICEL-MINISUPER),230.00,218.50,11.50
,11/07/2024,,354.00,332.54,21.46
4.00,,Envios De Recargas,4.00,0.04,3.96
350.00,,ICSI Recargas Xtreme,350.00,332.50,17.50
,11/07/2024,,83.00,61.53,21.47
1.00,,Agua Ciel 1.5 Lts 4721,18.00,12.04,5.96
1.00,,yoghurt griego fresa 220g,15.00,12.00,3.00
1.00,,Yoghurt Yoplait Piña Coco 330gr 9111,18.00,14.99,3.01
1.00,,Power Mora 1 Lt,32.00,22.50,9.50
,11/07/2024,,39.00,30.75,8.25
1.00,,Espagueti 200 gr,9.00,6.54,2.46
1.00,,Mediacrema Lala 250g,15.00,12.83,2.17
1.00,,Pure De Tomate Del Fuerte 345g,15.00,11.38,3.62
,11/07/2024,,46.00,34.04,11.96
2.00,,Cinta Transparente Grande,46.00,34.04,11.96
,11/07/2024,,150.00,137.04,12.96
2.00,,HUEVO CRIO CONO 30PZ,150.00,137.04,12.96
,11/07/2024,,18.00,14.01,3.99
1.00,,Fresca 600ml,18.00,14.01,3.99
,11/07/2024,,89.00,71.64,17.36
0.29,,Jamon Rebanado Suly 1kg,20.00,15.94,4.06
1.00,,Talco Dos Caras Tradicional 150g,31.00,24.70,6.30
1.00,,ChocoMilk Choco Canela 350g,38.00,31.00,7.00
,11/07/2024,,37.00,28.26,8.74
1.00,,Pepsi Jumbo 3Lt,37.00,28.26,8.74
,11/07/2024,,12.00,9.20,2.80
4.00,,Huevo Crio Individual 1pza,12.00,9.20,2.80
,11/07/2024,,12.00,9.20,2.80
4.00,,Huevo Crio Individual 1pza,12.00,9.20,2.80
,11/07/2024,,18.00,13.75,4.25
1.00,,Marias Gamesa 1pz,18.00,13.75,4.25
,11/07/2024,,28.00,19.27,8.73
2.00,,Fideo #1,18.00,12.90,5.10
1.00,,NORSUIZA CAJITA 2PZA,5.00,3.53,1.47
1.00,,NORTOMATE CAJA 2PZ,5.00,2.84,2.16
,11/07/2024,,481.00,444.57,36.43
1.00,,COCA COLA 600ML PAQ 12PZA,207.00,189.77,17.23
2.00,,FANTA FRESA 3LTS PAQ 4PZ,274.00,254.80,19.20
,11/07/2024,,39.00,32.83,6.17
1.00,,Coca Retornable 3LTS 3068,39.00,32.83,6.17
,11/07/2024,,18.00,13.30,4.70
1.00,,Valle Frut Citrus 600ML 330683,18.00,13.30,4.70
,11/07/2024,,14.00,6.36,7.64
2.00,,XL-3 Antigripal,14.00,6.36,7.64
,11/07/2024,,10.00,6.26,3.74
1.00,,Epura 600 ml,10.00,6.26,3.74
,11/07/2024,,38.00,34.26,3.74
1.00,,HUEVO CRIO 1/2 CONO,38.00,34.26,3.74
,11/07/2024,,74.00,58.91,15.09
1.00,,Coca Cola Vidrio 1 1/4,25.00,19.87,5.13
1.00,,Pepsi 2Lt 127,34.00,26.19,7.81
1.00,,Diavolin,15.00,12.85,2.15
,11/07/2024,,24.00,16.27,7.73
1.00,,Agua Ciel 600ml 307906,13.00,7.79,5.21
1.00,,Coca Cola 250ml Plastico,11.00,8.48,2.52
,11/07/2024,,39.00,32.83,6.17
1.00,,Coca Retornable 3LTS 3068,39.00,32.83,6.17
,11/07/2024,,25.00,18.29,6.71
1.00,,Electrolit Mora Azul 625ml,25.00,18.29,6.71
,11/07/2024,,50.00,42.84,7.16
0.40,,Queso De Hebra,50.00,42.84,7.16
,11/07/2024,,39.00,32.83,6.17
1.00,,Coca Retornable 3LTS 3068,39.00,32.83,6.17
,11/07/2024,,39.00,32.83,6.17
1.00,,Coca Retornable 3LTS 3068,39.00,32.83,6.17
,11/07/2024,,18.00,14.07,3.93
1.00,,Vuala Chocolate 1pza,18.00,14.07,3.93
,11/07/2024,,124.56,99.89,24.67
2.00,,Pila Duracel Triple AAA,46.00,40.60,5.40
4.00,,Pila Rayovac Doble AA 1pz,44.00,32.72,11.28
1.00,,Totopos 280G Normal,34.56,26.57,7.99
,11/07/2024,,39.00,32.83,6.17
1.00,,Coca Retornable 3LTS 3068,39.00,32.83,6.17
,11/07/2024,,50.00,40.37,9.63
0.46,,Queso Fresco,50.00,40.37,9.63
,11/07/2024,,5.00,3.53,1.47
1.00,,NORSUIZA CAJITA 2PZA,5.00,3.53,1.47
,11/07/2024,,37.00,31.08,5.92
1.00,,Coca Retornable 2.5 Lts,37.00,31.08,5.92
,11/07/2024,,299.00,145.00,154.00
1.00,,Bombox B113 Servicel 280624,299.00,145.00,154.00
,11/07/2024,,16.00,12.71,3.29
1.00,,Vive 100 Guarana Botella 500ml,16.00,12.71,3.29
,11/07/2024,,24.00,18.28,5.72
1.00,,Pepsi 1.5Lt,24.00,18.28,5.72
,11/07/2024,,37.00,31.08,5.92
1.00,,Coca Retornable 2.5 Lts,37.00,31.08,5.92
,11/07/2024,,23.00,17.91,5.09
1.00,,Ariel Oxiazul 250gm,14.00,10.38,3.62
1.00,,Cloralex 500 ml,9.00,7.53,1.47
,11/07/2024,,39.00,32.83,6.17
1.00,,Coca Retornable 3LTS 3068,39.00,32.83,6.17
,11/07/2024,,35.00,27.15,7.85
1.00,,Paketaxo Botanero 70g,19.00,14.55,4.45
1.00,,Triki Bits 80g,16.00,12.60,3.40
,11/07/2024,,12.00,1.02,10.98
6.00,,COPIA CREDENCIAL,12.00,1.02,10.98
,11/07/2024,,34.00,26.19,7.81
1.00,,Pepsi 2Lt 127,34.00,26.19,7.81
,11/07/2024,,4.50,2.25,2.25
3.00,,Clorets Menta 2.8gr 2Pastillas,4.50,2.25,2.25
,11/07/2024,,17.00,13.74,3.26
1.00,,Takis Fuego Mas Picante 65g,17.00,13.74,3.26
,11/07/2024,,90.00,69.48,20.52
1.00,,Nectar Valle Mango Cristal 413ml,18.00,12.18,5.82
1.00,,Florentinas Cajeta 83g,19.00,15.25,3.75
1.00,,Sabritas Sal Original 45g,18.00,14.55,3.45
1.00,,Cafe Vainilla Capuccino 7001,35.00,27.50,7.50
,11/07/2024,,18.00,14.01,3.99
1.00,,Fresca 600ml,18.00,14.01,3.99
,11/07/2024,,40.00,32.73,7.27
1.00,,Crossantines 32g,6.00,4.92,1.08
1.00,,Peñafiel Naranjada 600ml,18.00,14.58,3.42
1.00,,Big Mix 75g,16.00,13.23,2.77
,11/07/2024,,60.00,51.14,8.86
1.00,,HUEVO CRIO 1/2 CONO,38.00,34.26,3.74
1.00,,Harina Selecta 1kg,22.00,16.88,5.12
,11/07/2024,,56.01,47.51,8.50
0.32,,Queso De Hebra,40.01,34.28,5.73
1.00,,Big Mix 75g,16.00,13.23,2.77
,11/07/2024,,20.00,15.07,4.93
1.00,,Cheetos Torcido Naranja 52g,14.00,11.13,2.87
2.00,,Clorets Plus 4pastillas,6.00,3.94,2.06
,11/07/2024,,39.00,30.27,8.73
1.00,,Pepsi 1.5Lt,24.00,18.28,5.72
1.00,,Fritos Con Chorizo 60g,15.00,11.99,3.01
,11/07/2024,,40.00,31.62,8.38
1.00,,Fresca Jumbo 3lts,40.00,31.62,8.38
,11/07/2024,,8.00,0.68,7.32
4.00,,COPIA CREDENCIAL,8.00,0.68,7.32
,11/07/2024,,25.00,20.44,4.56
1.00,,Lala deslactosada 1lit,25.00,20.44,4.56
,11/07/2024,,5.00,2.84,2.16
1.00,,NORTOMATE CAJA 2PZ,5.00,2.84,2.16
,11/07/2024,,20.00,17.14,2.86
0.16,,Queso De Hebra,20.00,17.14,2.86
,11/07/2024,,12.00,9.09,2.91
1.00,,Whiskas Filete De Atun 85g,12.00,9.09,2.91
,11/07/2024,,31.00,25.63,5.37
1.00,,Peñafiel Piñada 2 lt,31.00,25.63,5.37
,11/07/2024,,17.00,13.87,3.13
1.00,,Maruchan Camaron Habanero S/Preparar,17.00,13.87,3.13
,11/07/2024,,33.00,25.46,7.54
1.00,,Fanta Fresa 600ml,19.00,14.33,4.67
1.00,,Cheetos Flamin Hot 52gr,14.00,11.13,2.87
,11/07/2024,,14.00,11.13,2.87
1.00,,Cheetos Flamin Hot 52gr,14.00,11.13,2.87
,11/07/2024,,25.00,18.66,6.34
1.00,,Pepsi 1.5Lt,24.00,18.28,5.72
1.00,,Vaso Individual del #8 1pza,1.00,0.38,0.62
,11/07/2024,,22.00,16.45,5.55
1.00,,Epura 1 lt,13.00,10.54,2.46
3.00,,Clorets Plus 4pastillas,9.00,5.91,3.09
,11/07/2024,,3.00,1.83,1.17
1.00,,Trident Menta 4 past 5.2gr,3.00,1.83,1.17
,11/07/2024,,15.00,9.43,5.57
1.00,,Agua Ciel 1lt 310883,15.00,9.43,5.57
,11/07/2024,,34.00,26.75,7.25
5.00,,Huevo Crio Individual 1pza,15.00,11.50,3.50
1.00,,Emperador Nuez 101g,19.00,15.25,3.75
,11/07/2024,,999.60,976.50,23.10
1050.00,,MASTERXTREME MAYOREO RECARGA,999.60,976.50,23.10
,11/07/2024,,999.60,976.50,23.10
1050.00,,MASTERXTREME MAYOREO RECARGA,999.60,976.50,23.10
,11/07/2024,,1000.02,976.50,23.52
1050.00,,MASTER TMAC MAYOREO RECARGA,1000.02,976.50,23.52
,11/07/2024,,246.00,226.39,19.61
231.00,,Abono Clientes Pay Joy,231.00,226.38,4.62
1.00,,Comision Pay Joy,15.00,0.01,14.99
,11/07/2024,,150.00,137.04,12.96
2.00,,HUEVO CRIO CONO 30PZ,150.00,137.04,12.96
,11/07/2024,,19.00,14.33,4.67
1.00,,Fanta Fresa 600ml,19.00,14.33,4.67
,11/07/2024,,799.00,480.00,319.00
1.00,,Alcatel 4033 050424,799.00,480.00,319.00
,11/07/2024,,51.00,34.12,16.88
1.00,,Doritos Nacho 61gr,18.00,14.40,3.60
1.00,,Sabritas Sal Original 45g,18.00,14.55,3.45
1.00,,Yoghurt Yoplait Fresa 220g 9140,15.00,5.17,9.83
,11/07/2024,,17.00,14.00,3.00
1.00,,Queso Crema La Escondida 250g,17.00,14.00,3.00
,11/07/2024,,39.00,32.83,6.17
1.00,,Coca Retornable 3LTS 3068,39.00,32.83,6.17
,11/07/2024,,12.00,9.50,2.50
1.00,,XL-3 Extra Gripa y tos Par,12.00,9.50,2.50
,11/07/2024,,6.00,4.21,1.79
1.00,,Navaja Gillette Individual,6.00,4.21,1.79
,11/07/2024,,44.00,34.86,9.14
1.00,,Runners 58g,16.00,12.60,3.40
1.00,,Cheetos Torcido Naranja 52g,14.00,11.13,2.87
1.00,,Churrumais mas producto 60gr,14.00,11.13,2.87
,11/07/2024,,15.00,12.11,2.89
0.14,,Queso Fresco,15.00,12.11,2.89
,11/07/2024,,29.00,1.00,28.00
1.00,,Chip29 Telcel Sin Saldo Activar C/50 Saldo,29.00,1.00,28.00
,11/07/2024,,12.00,7.38,4.62
2.00,,Cigarro Marlboro Individual 1Pza,12.00,7.38,4.62
,11/07/2024,,3.00,1.20,1.80
2.00,,Maxair Menta 2.8gr 2pastillas,3.00,1.20,1.80
,11/07/2024,,52.00,43.63,8.37
1.00,,Coca Retornable 2.5 Lts,37.00,31.08,5.92
1.00,,Galleta Chavalin,15.00,12.55,2.45
,11/07/2024,,12.00,7.38,4.62
2.00,,Cigarro Marlboro Individual 1Pza,12.00,7.38,4.62
,11/07/2024,,39.00,32.83,6.17
1.00,,Coca Retornable 3LTS 3068,39.00,32.83,6.17
,11/07/2024,,77.00,61.11,15.89
1.00,,Mantecadas Vainilla C/6pzas 187.5gr,29.00,23.78,5.22
1.00,,Senzao Guarana 2lts,31.00,23.89,7.11
1.00,,Barritas Fresa Mas Galleta 75g,17.00,13.44,3.56
,11/07/2024,,56.00,44.82,11.18
1.00,,Coca Retornable 3LTS 3068,39.00,32.83,6.17
1.00,,Vaso de Unicel #8 Paq 25pzas,17.00,11.99,5.01
,11/07/2024,,17.00,12.97,4.03
1.00,,Ruffles Mega Crunch Salsa Roja 42gr,17.00,12.97,4.03
,11/07/2024,,17.00,13.05,3.95
1.00,,Big Mix Queso 75g,17.00,13.05,3.95
,11/07/2024,,48.00,38.67,9.33
0.28,,Queso Fresco,30.00,24.22,5.78
1.00,,Doritos Incognito 61g,18.00,14.45,3.55
,11/07/2024,,29.00,22.66,6.34
0.29,,Jamon Rebanado Suly 1kg,20.00,15.94,4.06
1.00,,Rocko 44g,9.00,6.72,2.28
,11/07/2024,,250.00,226.09,23.91
1.00,,PEPSI 3LTS PAQ 8PZ,250.00,226.09,23.91
,11/07/2024,,499.80,488.25,11.55
525.00,,MASTERXTREME MAYOREO RECARGA,499.80,488.25,11.55
,11/07/2024,,12.00,0.00,12.00
2.00,,Caja Vacia De Huevo,12.00,0.00,12.00
,11/07/2024,,59.00,48.95,10.05
1.00,,Pepsi Jumbo 3Lt,37.00,28.44,8.56
1.00,,Azucar 1 Kg,22.00,20.51,1.49
,11/07/2024,,38.00,34.26,3.74
1.00,,HUEVO CRIO 1/2 CONO,38.00,34.26,3.74
,11/07/2024,,10.00,8.68,1.32
1.00,,Galletas Animalitos 200g,10.00,8.68,1.32
,11/07/2024,,39.00,32.83,6.17
1.00,,Coca Retornable 3LTS 3068,39.00,32.83,6.17
,11/07/2024,,5.00,0.89,4.11
1.00,,Diurex Tuk,5.00,0.89,4.11
,11/07/2024,,45.00,33.04,11.96
1.00,,Epura 1 lt,13.00,10.54,2.46
1.00,,Power Mora 1 Lt,32.00,22.50,9.50
,11/07/2024,,76.00,55.26,20.74
1.00,,Agua Ciel 1.5 Lts 4721,18.00,12.04,5.96
1.00,,Galleta Chavalin,15.00,12.55,2.45
1.00,,Yomi Lala Fresa 190ml,11.00,6.50,4.50
1.00,,Electrolit Uva 1L,32.00,24.17,7.83
,11/07/2024,,9.00,5.91,3.09
1.00,,Halls Cereza,9.00,5.91,3.09
,11/07/2024,,262.00,248.59,13.41
1.00,,COCA COLA 2.5LT RET PAQ 8PZ,262.00,248.59,13.41
,11/07/2024,,40.00,31.55,8.45
1.00,,Fanta Jumbo Naranja 3lts,40.00,31.55,8.45
,11/07/2024,,383.00,356.33,26.67
8.00,,Envios De Recargas,8.00,0.08,7.92
375.00,,RECARGAS XTREME (MULTICEL-MINISUPER),375.00,356.25,18.75
,11/07/2024,,204.00,190.04,13.96
4.00,,Envios De Recargas,4.00,0.04,3.96
200.00,,ICSI Recargas Xtreme,200.00,190.00,10.00
,11/07/2024,,48.00,41.99,6.01
1.00,,Epura Garrafon 20 Lts,48.00,41.99,6.01
,11/07/2024,,64.00,58.04,5.96
2.00,,Azucar 1 Kg,44.00,41.02,2.98
1.00,,Nutrileche 1pza,20.00,17.02,2.98
,11/07/2024,,17.00,11.99,5.01
1.00,,Sabritones 60g M,17.00,11.99,5.01
,11/07/2024,,207.00,196.95,10.05
1.00,,COCA RETORNABLE 3LTS PAQ 6PZA,207.00,196.95,10.05
,11/07/2024,,7.00,5.49,1.51
1.00,,Cerillo Flama Grande,7.00,5.49,1.51
,11/07/2024,,130.00,99.72,30.28
2.00,,Koleston Negro 108709 (20),130.00,99.72,30.28
,11/07/2024,,58.00,46.77,11.23
0.29,,Jamon Rebanado Suly 1kg,20.00,15.94,4.06
0.16,,Queso De Hebra,20.00,17.14,2.86
1.00,,Doritos 3D Nacho 50gr,18.00,13.69,4.31
,11/07/2024,,34.00,27.00,7.00
1.00,,Runners 58g,16.00,12.60,3.40
1.00,,Doritos Nacho 61gr,18.00,14.40,3.60
,11/07/2024,,106.00,85.50,20.50
1.00,,Agua Ciel Mineralizada 2 Lts 305742,27.00,19.13,7.87
1.00,,Coca Retornable 3LTS 3068,39.00,32.83,6.17
0.16,,Queso De Hebra,20.00,17.14,2.86
1.00,,TORTILLINA DEL HOGAR300G,20.00,16.40,3.60
,11/07/2024,,44.00,37.00,7.00
1.00,,Axion 250 gr,13.00,11.33,1.67
1.00,,Premier Higienico 425 Hjs,31.00,25.67,5.33
,11/07/2024,,77.00,47.47,29.53
1.00,,Gel Ego Diez 200ml,17.00,12.97,4.03
1.00,,REXONA 72H V8,60.00,34.50,25.50
,11/07/2024,,32.00,26.56,5.44
1.00,,Pan Tostado Bimbo Normal,32.00,26.56,5.44
,11/07/2024,,27.00,19.57,7.43
1.00,,Pancrema 151g,13.00,9.78,3.22
1.00,,Marianitas De Coco 185gr,14.00,9.79,4.21
,11/07/2024,,203.00,190.03,12.97
3.00,,Envios De Recargas,3.00,0.03,2.97
200.00,,RECARGAS XTREME (MULTICEL-MINISUPER),200.00,190.00,10.00
,12/07/2024,,34.00,26.81,7.19
1.00,,Nutrileche 1pza,20.00,17.02,2.98
1.00,,Marianitas De Coco 185gr,14.00,9.79,4.21
,12/07/2024,,6.00,4.35,1.65
1.00,,Chocomilk Sobre 22g,6.00,4.35,1.65
,12/07/2024,,207.00,196.95,10.05
1.00,,COCA RETORNABLE 3LTS PAQ 6PZA,207.00,196.95,10.05
,12/07/2024,,25.00,0.00,25.00
5.00,,Costal Vacio,25.00,0.00,25.00
,12/07/2024,,6.00,2.20,3.80
1.00,,Curita Adheciba $3.00Par,3.00,0.84,2.16
1.00,,Gasa Esterilizada Quirmex,3.00,1.36,1.64
,12/07/2024,,15.00,5.17,9.83
1.00,,Yoghurt Yoplait Fresa 220g 9140,15.00,5.17,9.83
,12/07/2024,,42.50,33.44,9.06
1.00,,Vuala Chocolate 1pza,18.00,13.48,4.52
1.00,,Yogurth Yoplait Fresa 470gr 9757,24.50,19.96,4.54
,12/07/2024,,17.00,14.59,2.41
1.00,,Sal La Fina  1k,17.00,14.59,2.41
,12/07/2024,,78.00,46.74,31.26
6.00,,Agua Ciel 600ml 307906,78.00,46.74,31.26
,12/07/2024,,40.00,33.02,6.98
2.00,,Fibra Scotch Brite Gigante,40.00,33.02,6.98
,12/07/2024,,227.00,213.10,13.90
0.18,,Queso Fresco,20.00,16.15,3.85
1.00,,COCA RETORNABLE 3LTS PAQ 6PZA,207.00,196.95,10.05
,12/07/2024,,22.00,17.66,4.34
2.00,,Alpura Chocolate 200ml Chocopower,22.00,17.66,4.34
,12/07/2024,,36.00,30.63,5.37
0.24,,Queso De Hebra,30.00,25.71,4.29
1.00,,Crossantines 32g,6.00,4.92,1.08
,12/07/2024,,6.00,1.68,4.32
2.00,,Curita Adheciba $3.00Par,6.00,1.68,4.32
,12/07/2024,,30.00,25.71,4.29
0.24,,Queso De Hebra,30.00,25.71,4.29
,12/07/2024,,33.00,22.06,10.94
1.00,,Agua Ciel 1lt 310883,15.00,9.43,5.57
1.00,,Agua Ciel  Mineralizada 600ml 308248,18.00,12.63,5.37
,12/07/2024,,59.00,43.98,15.02
1.00,,Bolsa Individual Polipapel Gde 1pza,2.00,0.00,2.00
1.00,,Lala deslactosada 1lit,25.00,20.44,4.56
1.00,,Marias Gamesa 1pz,18.00,13.75,4.25
1.00,,Marianitas De Coco 185gr,14.00,9.79,4.21
,12/07/2024,,102.50,81.44,21.06
1.00,,Ace Accion Instantanea 500g,24.50,18.64,5.86
1.00,,Axion 720gr,30.00,23.68,6.32
1.00,,Clarasol 1.850lt,23.00,18.93,4.07
0.23,,Queso Fresco,25.00,20.19,4.81
,12/07/2024,,75.00,68.52,6.48
1.00,,HUEVO CRIO CONO 30PZ,75.00,68.52,6.48
,12/07/2024,,16.00,12.60,3.40
1.00,,Triki Bits 80g,16.00,12.60,3.40
,12/07/2024,,28.00,21.61,6.39
1.00,,Ensueño Max Fresco Verano Zero Enjuague 850ml,28.00,21.61,6.39
,12/07/2024,,13.00,11.50,1.50
1.00,,Yoghurt Yoplait Durazno 220gr 9122,13.00,11.50,1.50
,12/07/2024,,53.50,43.74,9.76
1.00,,Mantecadas Nuez C/6pzas 184.5gr,29.00,23.78,5.22
1.00,,Yogurth Yoplait Fresa 470gr 9757,24.50,19.96,4.54
,12/07/2024,,20.00,17.14,2.86
0.16,,Queso De Hebra,20.00,17.14,2.86
,12/07/2024,,24.00,15.96,8.04
3.00,,Suavelastic Etapa 5 Individual Jumbo,24.00,15.96,8.04
,12/07/2024,,13.00,10.54,2.46
1.00,,Epura 1 lt,13.00,10.54,2.46
,12/07/2024,,66.00,56.00,10.00
1.00,,Pancrema 151g,13.00,9.78,3.22
0.22,,Jamon Rebanado Suly 1kg,15.00,11.96,3.04
1.00,,HUEVO CRIO 1/2 CONO,38.00,34.26,3.74
,12/07/2024,,19.00,15.00,4.00
1.00,,Yoghurt Yoplait Durazno 330gr 9261,19.00,15.00,4.00
,12/07/2024,,262.00,248.59,13.41
1.00,,COCA COLA 2.5LT RET PAQ 8PZ,262.00,248.59,13.41
,12/07/2024,,200.00,156.25,43.75
1.00,,Fanta Jumbo Naranja 3lts,40.00,31.55,8.45
1.00,,Fresca Jumbo 3lts,40.00,31.62,8.38
1.00,,Sprite 3lts,40.00,31.85,8.15
1.00,,Sidral Munded Jumbo 3 Lts,40.00,31.80,8.20
1.00,,Valle Frut Citrus 3lt,40.00,29.43,10.57
,12/07/2024,,39.00,32.83,6.17
1.00,,Coca Retornable 3LTS 3068,39.00,32.83,6.17
,12/07/2024,,29.00,23.50,5.50
1.00,,Queso Manchego Lala 144gr 010830,29.00,23.50,5.50
,12/07/2024,,32.00,21.78,10.22
1.00,,Valle Frut Citrus 2 Litros 330461,30.00,21.02,8.98
2.00,,Vaso Individual del #8 1pza,2.00,0.76,1.24
,12/07/2024,,207.00,196.95,10.05
1.00,,COCA RETORNABLE 3LTS PAQ 6PZA,207.00,196.95,10.05
,12/07/2024,,21.00,16.80,4.20
1.00,,Principe Avellana 126g,21.00,16.80,4.20
,12/07/2024,,54.00,40.79,13.21
1.00,,Coca Retornable 3LTS 3068,39.00,32.83,6.17
1.00,,Flanax 550 C/Uno 7501008498880,15.00,7.96,7.04
,12/07/2024,,18.00,13.75,4.25
1.00,,Peñafiel Agua Mineralizada 600,18.00,13.75,4.25
,12/07/2024,,25.00,9.70,15.30
1.00,,Teatino Maracuya Sobre,25.00,9.70,15.30
,12/07/2024,,69.00,54.12,14.88
1.00,,Pepsi Jumbo 3Lt,37.00,28.44,8.56
2.00,,Tostitos Salsa Verde 70g,32.00,25.68,6.32
,12/07/2024,,41.50,22.23,19.27
1.00,,Optimus Sobre Omnilife,16.50,12.53,3.97
1.00,,Teatino Maracuya Sobre,25.00,9.70,15.30
,12/07/2024,,786.00,745.77,40.23
3.00,,COCA COLA 2.5LT RET PAQ 8PZ,786.00,745.77,40.23
,12/07/2024,,10.00,6.26,3.74
1.00,,Epura 600 ml,10.00,6.26,3.74
,12/07/2024,,84.00,67.87,16.13
10.00,,Huevo Crio Individual 1pza,30.00,23.00,7.00
1.00,,Patrona 500 ml,24.00,19.76,4.24
0.14,,Jamon Rebanado Suly 1kg,10.00,7.97,2.03
0.16,,Queso De Hebra,20.00,17.14,2.86
,12/07/2024,,19.00,12.24,6.76
1.00,,Amper Play Hard Energy Go 473ml,19.00,12.24,6.76
,12/07/2024,,20.00,12.00,8.00
1.00,,Mony Quita Cochambre 470g,20.00,12.00,8.00
,12/07/2024,,67.00,55.67,11.33
1.00,,Coca Retornable 3LTS 3068,39.00,32.83,6.17
1.00,,Rosa Venus Rosa 100g,9.00,7.74,1.26
1.00,,Shampoo Savile Control Caida 180ml,19.00,15.10,3.90
,12/07/2024,,38.00,31.17,6.83
1.00,,Fanta Uva 3lt,38.00,31.17,6.83
,12/07/2024,,40.00,31.62,8.38
2.00,,Coca Cola 600ml,40.00,31.62,8.38
,12/07/2024,,22.00,16.36,5.64
2.00,,Pila Rayovac Doble AA 1pz,22.00,16.36,5.64
